Category,ID,Rule_Text,Flag
VERILOG_FILE_STRUCTURE,1,"The filename must match the module name exactly and end with .sv extension.",
VERILOG_FILE_STRUCTURE,2,"There must be an exhaustive TOP_HEADER starting with STANDARD_INTEL_HEADER at the top of the file describing: (a) module function and purpose, (b) all parameters with their defaults and valid ranges, (c) all ports with direction and interoperability details, (d) all functions with purpose and interoperability, (e) all state variables with bit width and default values, (f) all sub-modules instantiated with purpose, (g) all clocks with frequencies and domains, (h) all resets with polarity and synchronization strategy.",
VERILOG_FILE_STRUCTURE,3,"STANDARD_INTEL_HEADER is a fully documented header with each line starting with comment, no block comment, and defined as 'defined as //----------------------------------------------------------------------------------------------------- // // INTEL CONFIDENTIAL // // Copyright 'CURRENT_YEAR' Intel Corporation All Rights Reserved.  // // The source code contained or described herein and all documents related to the source code // ("Material" ) are owned by Intel Corporation or its suppliers or licensors. Title to the Material // remains with Intel Corporation or its suppliers and licensors. The Material contains trade // secrets and proprietary and confidential information of Intel or its suppliers and licensors.  // The Material is protected by worldwide copyright and trade secret laws and treaty provisions.  // No part of the Material may be used, copied, reproduced, modified, published, uploaded, posted, // transmitted, distributed, or disclosed in any way without Intel's prior express written permission.  // // No license under any patent, copyright, trade secret or other intellectual property right is // granted to or conferred upon you by disclosure or delivery of the Materials, either expressly, by // implication, inducement, estoppel or otherwise. Any license under such intellectual property rights // must be express and approved by Intel in writing.  // //-----------------------------------------------------------------------------------------------------'",
VERILOG_FILE_STRUCTURE,4,"TOP_HEADER comments must use the delimiter format consisting of exactly 103 characters: //============================================================================",
VERILOG_FILE_STRUCTURE,5,"Module organization must follow this order: (1) TOP_HEADER, (2) package imports if needed, (3) module declaration with ports, (4) parameter declarations, (5) wire/logic declarations, (6) function declarations, (7) localparam declarations, (8) combinatorial logic blocks (always_comb), (9) sequential logic block (always_ff), (10) continuous assignments, (11) sub-module instantiations, (12) SVA include if applicable.",
VERILOG_FILE_STRUCTURE,6,"All section headers within the file must be clearly labeled, describe the following code section, and use consistent delimiter formatting (e.g., 'Wire Declarations', 'Function Definitions', 'Combinatorial Logic', 'Sequential Logic').",
VERILOG_FILE_STRUCTURE,7,"If module uses external packages, all package imports must appear immediately after TOP_HEADER before module declaration using explicit import syntax (e.g., 'import pkg_name::*;' or 'import pkg_name::type_name;').",
VERILOG_FILE_STRUCTURE,8,"If module defines types/typedef used by other modules, those types should be defined in a separate package file with '_pkg.sv' suffix and imported rather than duplicated across modules. DO NOT PERMIT DUPLICATE typdef",
VERILOG_FILE_STRUCTURE,9,"If module requires included files (defines, macros), all `include directives must appear at the very top before TOP_HEADER with clear comments indicating what each include provides.",
VERILOG_FILE_STRUCTURE,10,"Module complexity should be managed: no module should exceed 2000 lines of code; if exceeded, decompose into hierarchical sub-modules with clear functional boundaries.",
